name,dimensions,references,domain_latex,link
Hartmann 3-Dimensional,3,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ (0, 1), for all i = 1, 2, 3",https://www.sfu.ca/~ssurjano/hart3.html
Bukin Function N. 6,2,"['Global Optimization Test Functions Index. Retrieved June 2013, from http://infinity77.net/global_optimization/test_functions.html#test-functions-index.']","x1 ∈ [-15, -5], x2 ∈ [-3, 3]",https://www.sfu.ca/~ssurjano/bukin6.html
Power Sum,d,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [0, d], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/powersum.html
Branin,2,"['Dixon, L. C. W., & Szego, G. P. (1978). The global optimization problem: an introduction. Towards global optimization, 2, 1-15.', 'Forrester, A., Sobester, A., & Keane, A. (2008). Engineering design via surrogate modelling: a practical guide. Wiley.', 'Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.', 'Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.', 'Picheny, V., Wagner, T., & Ginsbourger, D. (2012). A benchmark of kriging-based infill criteria for noisy optimization.']","x1 ∈ [-5, 10], x2 ∈ [0, 15]",https://www.sfu.ca/~ssurjano/branin.html
Shekel,4,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.', 'Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.']","xi ∈ [0, 10], for all i = 1, 2, 3, 4",https://www.sfu.ca/~ssurjano/shekel.html
Schaffer Function N. 4,2,"['Test functions for optimization. In Wikipedia. Retrieved June 2013, from https://en.wikipedia.org/wiki/Test_functions_for_optimization.']","xi ∈ [-100, 100], for all i = 1, 2",https://www.sfu.ca/~ssurjano/schaffer4.html
Easom,2,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [-100, 100], for all i = 1, 2",https://www.sfu.ca/~ssurjano/easom.html
Goldstein-Price,2,"['Dixon, L. C. W., & Szego, G. P. (1978). The global optimization problem: an introduction. Towards global optimization, 2, 1-15.', 'Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.', 'Picheny, V., Wagner, T., & Ginsbourger, D. (2012). A benchmark of kriging-based infill criteria for noisy optimization.']","xi ∈ [-2, 2], for all i = 1, 2",https://www.sfu.ca/~ssurjano/goldpr.html
Rotated Hyper-Ellipsoid,d,"['Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.']","xi ∈ [-65.536, 65.536], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/rothyp.html
Sum Squares,d,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.', 'Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.']","xi ∈ [-10, 10], for all i = 1, …, d, although this may be restricted to the hypercube xi ∈ [-5.12, 5.12], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/sumsqu.html
Trid,d,"['Adorio, E. P., & Diliman, U. P. MVF - Multivariate Test Functions Library in C for Unconstrained Global Optimization (2005). Retrieved August 2017, from http://www.geocities.ws/eadorio/mvf.pdf.', 'Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [-d2, d2], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/trid.html
Schaffer Function N. 2,2,"['Test functions for optimization. In Wikipedia. Retrieved June 2013, from https://en.wikipedia.org/wiki/Test_functions_for_optimization.']","xi ∈ [-100, 100], for all i = 1, 2",https://www.sfu.ca/~ssurjano/schaffer2.html
Colville,4,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [-10, 10], for all i = 1, 2, 3, 4",https://www.sfu.ca/~ssurjano/colville.html
Rastrigin,d,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.', 'Pohlheim, H. GEATbx Examples: Examples of Objective Functions (2005). Retrieved June 2013, from http://www.geatbx.com/download/GEATbx_ObjFunExpl_v37.pdf.']","xi ∈ [-5.12, 5.12], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/rastr.html
Beale,2,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [-4.5, 4.5], for all i = 1, 2",https://www.sfu.ca/~ssurjano/beale.html
Drop-Wave,2,"['Global Optimization Test Functions Index. Retrieved June 2013, from http://infinity77.net/global_optimization/test_functions.html#test-functions-index.']","xi ∈ [-5.12, 5.12], for all i = 1, 2",https://www.sfu.ca/~ssurjano/drop.html
Hartmann 6-Dimensional,6,"['Dixon, L. C. W., & Szego, G. P. (1978). The global optimization problem: an introduction. Towards global optimization, 2, 1-15.', 'Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.', 'Picheny, V., Wagner, T., & Ginsbourger, D. (2012). A benchmark of kriging-based infill criteria for noisy optimization.']","xi ∈ (0, 1), for all i = 1, …, 6",https://www.sfu.ca/~ssurjano/hart6.html
Shubert,2,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [-10, 10], for all i = 1, 2, although this may be restricted to the square xi ∈ [-5.12, 5.12], for all i = 1, 2",https://www.sfu.ca/~ssurjano/shubert.html
"Perm Function 0, d, Beta",d,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [-d, d], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/perm0db.html
Michalewicz,d,"['Global Optimization Test Functions Index. Retrieved June 2013, from http://infinity77.net/global_optimization/test_functions.html#test-functions-index.', 'Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.', 'Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.']","xi ∈ [0, π], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/michal.html
Bohachevsky Functions,2,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [-100, 100], for all i = 1, 2",https://www.sfu.ca/~ssurjano/boha.html
Schwefel,d,"['GEATbx: Examples of Objective Functions. Retrieved September 2014, from http://www.pg.gda.pl/~mkwies/dyd/geadocu/fcnfun7.html.', 'Global Optimization Test Functions Index. Retrieved June 2013, from http://infinity77.net/global_optimization/test_functions.html#test-functions-index.', 'Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.', 'Laguna, M., & Marti, R. Experimental Testing of Advanced Scatter Search Designs for Global Optimization of Multimodal Functions (2002). Retrieved June 2013, from http://www.uv.es/rmarti/paper/docs/global1.pdf.']","xi ∈ [-500, 500], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/schwef.html
Zakharov,d,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [-5, 10], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/zakharov.html
Powell,d,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.', 'Laguna, M., & Marti, R. Experimental Testing of Advanced Scatter Search Designs for Global Optimization of Multimodal Functions (2002). Retrieved June 2013, from http://www.uv.es/rmarti/paper/docs/global1.pdf.']","xi ∈ [-4, 5], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/powell.html
Gramacy & Lee (2012),1,"['Gramacy, R. B., & Lee, H. K. (2012). Cases for the nugget in modeling computer experiments. Statistics and Computing, 22(3), 713-722.', 'Ranjan, P. (2013). Comment: EI Criteria for Noisy Computer Simulators. Technometrics, 55(1), 24-28.']","x ∈ [0.5, 2.5]",https://www.sfu.ca/~ssurjano/grlee12.html
Sphere,d,"['Dixon, L. C. W., & Szego, G. P. (1978). The global optimization problem: an introduction. Towards global optimization, 2, 1-15.', 'Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.', 'Picheny, V., Wagner, T., & Ginsbourger, D. (2012). A benchmark of kriging-based infill criteria for noisy optimization.']","xi ∈ [-5.12, 5.12], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/spheref.html
Eggholder,2,"['Global Optimization Test Functions Index. Retrieved June 2013, from http://infinity77.net/global_optimization/test_functions.html#test-functions-index.']","xi ∈ [-512, 512], for all i = 1, 2",https://www.sfu.ca/~ssurjano/egg.html
Matyas,2,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [-10, 10], for all i = 1, 2",https://www.sfu.ca/~ssurjano/matya.html
Griewank,d,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.', 'Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.']","xi ∈ [-600, 600], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/griewank.html
