name,latex,references,tags,domain,domain_latex,minima_latex,link
Bohachevsky N. 1,"$$f(x, y) = x^2 + 2y^2 -0.3cos(3\pi x)-0.4cos(4\pi y)+0.7$$",['ttp://www.sfu.ca/~ssurjano/boha.htm'],"['2-dimensional', 'continuous', 'convex', 'unimodal']","[-100, 100]","$x_i \in [-100, 100]$ for $i = 1, 2$","The function has one local minimum at: $f(\textbf{x}^{\ast}) = 0$ at $\textbf{x}^{\ast} = (0, 0)$",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/bohachevskyn1fcn.markdown
Bohachevsky N. 2,"$$f(x, y)=x^2 + 2y^2 -0.3cos(3\pi x)cos(4\pi y)+0.3$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. O. Bohachevsky, M. E. Johnson, M. L. Stein, “General Simulated Annealing for Function Optimization,” Technometrics, vol. 28, no. 3, pp. 209-217, 1986']","['2-dimensional', 'non-separable', 'multimodal', 'non-convex', 'differentiable']","[-100, 100]","$x_i \in [-100, 100]$ for $i=1, 2$","The function has one global minimum $f(\textbf{x}^{\ast}) = 0$ located at $\mathbf{x^\ast}=(0, 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/bohachevskyn2fcn.markdown
Booth,"$$f(x,y)=(x+2y-7)^2+(2x+y-5)^2$$","['http://www.sfu.ca/~ssurjano/booth.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['2-dimensional', 'continuous', 'convex', 'differentiable', 'non-separable', 'unimodal', 'convex']","[-10, 10]","$x_i \in [-10, 10]$ for all $i = 1,2$","The function has one global minimum at: $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (1,3)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/boothfcn.markdown
Brent,"$$f(x, y) = (x + 10)^2 + (y + 10)^2 + e^{-x^2 - y^2}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['2-dimensional', 'non-separable', 'unimodal', 'convex', 'differentiable']","[-20, 0]","$x_i \in [-20, 0]$ for $i=1, 2$","The function has one global minimum at $f(\textbf{x}^{\ast})= e^{-200}$ located at $\mathbf{x^\ast}=(-10, -10)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/brentfcn.markdown
Brown,$$f(\textbf{x}) = \sum_{i=1}^{n-1}(x_i^2)^{(x_{i+1}^{2}+1)}+(x_{i+1}^2)^{(x_{i}^{2}+1)}$$,"['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['n-dimensional', 'non-separable', 'unimodal', 'convex', 'differentiable']","[-1, 4]","$x_i \in [-1, 4]$ for $i=1, ..., n$",The function has one global minimum at $f(\textbf{x}^{\ast})= 0$ located at $\mathbf{x^\ast}=\textbf{0}$.,https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/brownfcn.markdown
Bukin N. 6,"$$f(x,y)=100\sqrt{|y-0.01x^2|}+0.01|x+10|$$","['http://www.sfu.ca/~ssurjano/booth.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['2-dimensional', 'continuous', 'convex', 'non-differentiable', 'non-separable', 'multimodal', 'convex']","[-15, -5]","$x \in [-15, -5]$ and $y \in [-3, 3]$ ","The function has one global minimum at: $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (-10,1)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/bukinn6fcn.markdown
Cross-in-Tray,"$$f(x,y)=-0.0001(|sin(x)sin(y)exp(|100-\frac{\sqrt{x^2+y^2}}{\pi}|)|+1)^{0.1}$$","['http://www.sfu.ca/~ssurjano/crossit.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['2-dimensional', 'continuous', 'non-differentiable', 'non-separable', 'multimodal', 'non-convex']","[-10, 10]","$x \in [-10, 10]$ and $y \in [-10, 10]$ ","The function has four global minima $f(\textbf{x}^{\ast})=-2.06261218$ at $\textbf{x}^{\ast} = (\pm1.349406685353340,\pm1.349406608602084)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/crossintrayfcn.markdown
Deckkers-Aarts,"$$f(x, y) = 10^5x^2 + y^2 -(x^2 + y^2)^2 + 10^{-5}(x^2 + y^2)^4$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. M. Ali, C. Khompatraporn, Z. B. Zabinsky, “A Numerical Evaluation of Several Stochastic Algorithms on Selected Continuous Global Optimization Test Problems,” Journal of Global Optimization, vol. 31, pp. 635-672, 2005']","['2-dimensional', 'continuous', 'differentiable', 'non-separable', 'multimodal', 'non-convex']","[-20, 20]","$x_i \in [-20, 20]$ for $i=1, ..., n$","The global minima $f(\textbf{x}^{\ast})=-24771.09375$ are located at $\mathbf{x^\ast}=(0, \pm 15)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/deckkersaartsfcn.markdown
Drop-Wave,"$$f(x, y) = - \frac{1 + cos(12\sqrt{x^{2} + y^{2}})}{(0.5(x^{2} + y^{2}) + 2)}$$",['ttp://www.sfu.ca/~ssurjan'],"['2-dimensional', 'continuous', 'unimodal', 'non-convex']","[-5.2, 5.2]","$x_i \in [-5.2, 5.2]$ for $i = 1, 2$","$f(\textbf{x}^{\ast}) = -1$ at $\textbf{x}^{\ast} = (0, 0)$",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/dropwavefcn.markdown
Easom,"$$f(x,y)=−cos(x)cos(y) exp(−(x − \pi)^2−(y − \pi)^2)$$","['http://www.sfu.ca/~ssurjano/easom.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', 'http://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO_files/Page1361.htm']","['2-dimensional', 'continuous', 'differentiable', 'separable', 'multimodal', 'non-convex']","[-100, 100]","$x \in [-100, 100]$ and $y \in [-100, 100]$ ","The function has four global minima $f(x^{\ast}, y^{\ast})=-1$ at $(x^{\ast}, y^{\ast}) = (\pi,\pi)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/easomfcn.markdown
Egg Crate,"$$f(x,y)=x^2 + y^2 + 25(sin^2(x) + sin^2(y))$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', 'http://al-roomi.org/benchmarks/unconstrained/2-dimensions/122-egg-crate-function', 'hawdhry, P. K., Roy, R., & Pant, R. K. (2012). Soft Computing in Engineering Design and Manufacturing. London: Springer Science & Business Media', 'ang, X.S. (2008). Nature-Inspired Metaheuristic Algorithms, Luniver Press']","['2-dimensional', 'continuous', 'differentiable', 'separable', 'multimodal', 'non-convex']","[-5, 5]","$x_i \in [-5, 5]$ for $i=1, 2$","The global minimum $f(\textbf{x}^{\ast})=0$ is located at $\mathbf{x^\ast}=(0, 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/eggcratefcn.markdown
Exponential,"$$f(\mathbf{x})=f(x_1, ..., x_n)=-exp(-0.5\sum_{i=1}^n{x_i^2})$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. Rahnamyan, H. R. Tizhoosh, N. M. M. Salama, “Opposition-Based Differential Evolution (ODE) with Variable Jumping Rate,” IEEE Sympousim Foundations Computation Intelligence, Honolulu, HI, pp. 81-88, 2007']","['n-dimensional', 'continuous', 'differentiable', 'non-separable', 'unimodal', 'convex']","[-1, 1]","$x_i \in [-1, 1]$ for $i=1, ..., n$",The function has one global minimum $f(\textbf{x}^{\ast})=$ at $\mathbf{x^\ast}=0$.,https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/exponentialfcn.markdown
Goldstein-Price,"$$f(x,y)=[1 + (x + y + 1)^2(19 − 14x+3x^2− 14y + 6xy + 3y^2)][30 + (2x − 3y)^2(18 − 32x + 12x^2 + 4y − 36xy + 27y^2)]$$","['http://www.sfu.ca/~ssurjano/goldpr.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['2-dimensional', 'continuous', 'differentiable', 'non-separable', 'multimodal', 'non-convex']","[-2, 2]","$x \in [-2, 2]$ and $y \in [-2, 2]$ ","The function has four global minima $f(\textbf{x}^{\ast})=3$ at $\textbf{x}^{\ast} = (0, -1)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/goldsteinpricefcn.markdown
Gramacy & Lee,$$f(x) = \frac{sin(10\pi x)}{2x} + (x-1)^4$$,"['http://www.sfu.ca/~ssurjano/boha.html', 'http://al-roomi.org/benchmarks/unconstrained/1-dimension/258-gramacy-lee-s-function-no-1']","['1-dimensional', 'continuous', 'multimodal', 'non-convex']","[-0.5, 2.5]","$x \in [-0.5, 2.5]$",The function has one local minimum at: $f(x^*)=-0.869011134989500$ at $\textbf{x}^{\ast} = 0.548563444114526$.,https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/gramacyleefcn.markdown
Griewank,"$$f(\textbf{x}) = f(x_1, ..., x_n) = 1 + \sum_{i=1}^{n} \frac{x_i^{2}}{4000} - \prod_{i=1}^{n}cos(\frac{x_i}{\sqrt{i}})$$",['ttp://www.sfu.ca/~ssurjan'],"['n-dimensional', 'continuous', 'unimodal', 'non-convex', 'non-separable']","[-600, 600]","$x_i \in [-600, 600]$ for $i = 1, ..., n$","$f(\textbf{x}^{\ast}) = 0$ at $\textbf{x}^{\ast} = (0, ..., 0)$",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/griewankfcn.markdown
Happy Cat,$$f(\textbf{x})=\left[\left(||\textbf{x}||^2 - n\right)^2\right]^\alpha + \frac{1}{n}\left(\frac{1}{2}||\textbf{x}||^2+\sum_{i=1}^{n}x_i\right)+\frac{1}{2}$$,"['ans-Georg Beyer and Steffen Finck, HappyCat – A Simple Function Class Where Well-Known Direct Search Algorithms Do Fail, Parallel Problem Solving from Nature - PPSN XII, pp. 367--376 (2012), [https://doi.org/10.1007/978-3-642-32937-1_37']","['n-dimensional', 'non-separable', 'multimodal', 'non-convex', 'differentiable', 'parametric']","[-2, 2]","$x_i \in [-2, 2]$ for $i=1, ..., n$","The function has one global minimum at $f(\textbf{x}^{\ast}) = 0$ located at $\mathbf{x^\ast}=(-1, ..., -1)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/happycatfcn.markdown
Himmelblau,"$$f(x, y) = (x^{2} + y - 11)^{2} + (x + y^{2} - 7)^{2}$$",['ttps://en.wikipedia.org/wiki/Himmelblau%27s_functio'],"['2-dimensional', 'continuous', 'multimodal', 'non-convex']","[-6, 6]","$x_i \in [-6, 6]$ for $i = 1, 2$",The function has four local minima at: ,https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/himmelblaufcn.markdown
Holder-Table,"$$f(x,y)=-|sin(x)cos(y)exp(|1-\frac{\sqrt{x^2+y^2}}{\pi}|)|$$","['http://www.sfu.ca/~ssurjano/holder.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization']","['2-dimensional', 'continuous', 'non-differentiable', 'non-separable', 'multimodal', 'non-convex']","[-10, 10]","$x \in [-10, 10]$ and $y \in [-10, 10]$ ","The function has four global minima $f(\textbf{x}^{\ast})=-19.2085$ at $\textbf{x}^{\ast} = (\pm 8.05502,\pm 9.66459)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/holdertablefcn.markdown
Keane,"$$f(x,y)=-\frac{\sin^2(x-y)\sin^2(x+y)}{\sqrt{x^2+y^2}}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', 'http://al-roomi.org/benchmarks/unconstrained/2-dimensions/135-keane-s-function']","['2-dimensional', 'continuous', 'differentiable', 'non-separable', 'multimodal', 'non-convex']","[0, 10]","$x_i \in [0, 10]$ for $i=1, 2$",The function has two global minima $f(\textbf{x}^{\ast})=0.673667521146855$ at ,https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/kealefcn.markdown
Leon,"$$f(x, y) = 100(y − x^{3})^2 + (1 − x)^2$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. Lavi, T. P. Vogel (eds), “Recent Advances in Optimization Techniques,” John Wiley & Sons, 196', 'http://al-roomi.org/benchmarks/unconstrained/2-dimensions/125-leon-s-function']","['2-dimensional', 'continuous', 'differentiable', 'non-separable', 'unimodal', 'non-convex']","[0, 10]","$x_i \in [0, 10]$ for $i=1, 2$","The function has one global minimum $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (1,1)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/leonfcn.markdown
Levi N. 13,"$$f(x, y) = sin^2(3\pi x)+(x-1)^2(1+sin^2(3\pi y))+(y-1)^2(1+sin^2(2\pi y))$$","['http://www.sfu.ca/~ssurjano/levy13.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization']","['2-dimensional', 'continuous', 'differentiable', 'non-separable', 'multimodal', 'non-convex']","[-10, 10]","$x \in [-10, 10]$ and $y \in [-10, 10]$ ","The function has one global minimum $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (1, 1)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/levin13fcn.markdown
Matyas,"$$f(x, y)=0.26(x^2+y^2) -0.48xy$$","['http://www.sfu.ca/~ssurjano/matya.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['2-dimensional', 'continuous', 'differentiable', 'non-separable', 'unimodal', 'convex']","[-10, 10]","$x \in [-10, 10]$ and $y \in [-10, 10]$ ","The function has one global minimum $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (0, 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/matyasfcn.markdown
McCormick,"$$f(x, y)=sin(x + y) + (x - y) ^2 - 1.5x + 2.5 y + 1$$","['http://www.sfu.ca/~ssurjano/mccorm.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['2-dimensional', 'continuous', 'differentiable', 'multimodal', 'non-scalable', 'convex']","[-1.5, 4]","$x \in [-1.5, 4]$ and $y \in [-3, 3]$ ","The function has one global minimum $f(\textbf{x}^{\ast})\approx −1.9133$ at $\textbf{x}^{\ast} = (−0.547,−1.547)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/mccormickfcn.markdown
Periodic,$$f(\mathbf{x})=f(x_1 ... x_n)=1 + \sum_{i=1}^{n}{sin^2(x_i)}-0.1e^{(\sum_{i=1}^{n}x_i^2)}$$,"['omin Jamil and Xin-She Yang A literature survey of benchmark functions for global optimization problems Int. Journal of Mathematical Modelling and Numerical Optimisation} Vol. 4 No. 2 pp. 150--194 (2013) [arXiv:1308.4008', '. M. Ali C. Khompatraporn Z. B. Zabinsky “A Numerical Evaluation of Several Stochastic Algorithms on Selected Continuous Global Optimization Test Problems,” Journal of Global Optimization vol. 31 pp. 635-672 2005']","['n-dimensional', 'continuous', 'differentiable', 'non-separable', 'multimodal', 'non-convex']",[-10 10],$x_i \in [-10 10]$ for $i=1 ... n$,The function has on global minimum $f(\mathbf{x}^{\ast})=0.9$ at $\mathbf{x}^{\ast}=(0 ... 0)$.,https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/periodicfcn.markdown
